678,251,0,0,0,0,0,0,0,0,0
80122,47615,47617,48432,48441,48802,48809,48812,75769,75773,76709
83737,81843,81849,81862,81868,81879,81884,81925,81974,82522,83112
116231,115101,115104,115108,115110,115115,115120,115121,115195,115198,115199
116961,103333,103992,104318,104327,105864,105918,108644,109570,109590,114667
81078,40456,40517,43202,44927,58267,59249,59252,71902,71910,74709
81185,61987,62042,62397,62448,63105,66897,67315,67366,67583,72580
81844,81464,81504,81518,81519,81739,81744,81765,81809,81821,81838
81850,81504,81518,81519,81739,81744,81765,81809,81821,81838,81844
81924,81518,81519,81739,81744,81765,81809,81821,81838,81844,81850
84591,74479,74754,79559,80676,80691,81458,81497,81499,81562,81572
86948,67935,68841,69869,73029,86826,86833,86894,86898,86902,86913
90859,80676,80691,81458,81497,81499,81562,81572,84591,86537,86682
90866,80691,81458,81497,81499,81562,81572,84591,86537,86682,90859
92030,86932,86953,87112,87591,87642,87674,88192,88301,91949,92027
