93625,92215,92220,92225,92233,92242,92247,92248,92265,92352,92683
93653,90409,90419,90423,90426,90434,90443,90573,90579,90591,90595
93672,81938,81942,81945,82700,82775,88350,89582,89585,89598,89607
93674,92070,92075,92078,92081,92090,92101,92130,92146,92147,92157
93677,79663,79677,79680,79684,84118,84125,84133,88151,92418,92873
93688,93294,93303,93308,93310,93314,93493,93508,93512,93517,93521
93719,67613,67699,78430,79083,88995,89562,89608,89629,89777,89856
93752,82674,82675,86430,88022,88129,88325,88388,88395,88691,88695
93755,86846,86990,87110,87132,87323,87349,87512,87529,91627,91629
93756,91668,91675,91762,92333,92465,92811,92924,92946,93136,93386
91649,91078,91080,91256,91260,91268,91431,91441,91622,91623,91647
91676,91080,91256,91260,91268,91431,91441,91622,91623,91647,91649
91677,91256,91260,91268,91431,91441,91622,91623,91647,91649,91676
91726,91260,91268,91431,91441,91622,91623,91647,91649,91676,91677
91727,91268,91431,91441,91622,91623,91647,91649,91676,91677,91726
91736,91431,91441,91622,91623,91647,91649,91676,91677,91726,91727
91738,91441,91622,91623,91647,91649,91676,91677,91726,91727,91736
91746,91622,91623,91647,91649,91676,91677,91726,91727,91736,91738
91750,91623,91647,91649,91676,91677,91726,91727,91736,91738,91746
91773,91647,91649,91676,91677,91726,91727,91736,91738,91746,91750
