22314,14850,14868,14895,14920,14953,15457,15476,15495,15498,15513
22417,14868,14895,14920,14953,15457,15476,15495,15498,15513,22314
22585,14895,14920,14953,15457,15476,15495,15498,15513,22314,22417
22598,14920,14953,15457,15476,15495,15498,15513,22314,22417,22585
22743,14953,15457,15476,15495,15498,15513,22314,22417,22585,22598
22750,15457,15476,15495,15498,15513,22314,22417,22585,22598,22743
22831,15476,15495,15498,15513,22314,22417,22585,22598,22743,22750
22878,15495,15498,15513,22314,22417,22585,22598,22743,22750,22831
15498,14713,14813,14850,14868,14895,14920,14953,15457,15476,15495
15513,14813,14850,14868,14895,14920,14953,15457,15476,15495,15498
22314,0,0,0,0,0,0,0,0,0,0
22417,22314,0,0,0,0,0,0,0,0,0
22585,22314,22417,0,0,0,0,0,0,0,0
22598,22314,22417,22585,0,0,0,0,0,0,0
22743,22314,22417,22585,22598,0,0,0,0,0,0
22750,22314,22417,22585,22598,22743,0,0,0,0,0
22831,22314,22417,22585,22598,22743,22750,0,0,0,0
22878,22314,22417,22585,22598,22743,22750,22831,0,0,0
